title,artist,year,duration,group
rhythm of the night,corona,1994,263,electronic
right in the night (fall in love with music),jam & spoon,1994,228,electronic
said i loved you... but i lied,michael bolton,1994,311,pop
secret,madonna,1994,305,pop
shoop,salt 'n' pepa,1994,250,urban
sing hallelujah,dr. alban,1994,241,pop
slave to the music,twenty 4 seven,1994,225,electronic
son of a gun,jx,1994,349,electronic
stay,eternal,1994,286,urban
stay (i missed you),lisa loeb & nine stories,1994,188,band
streets of philadelphia,bruce springsteen,1994,177,band
swamp thing,the grid,1994,154,electronic
the most beautiful girl in the world,symbol,1994,215,pop
the sign,ace of base,1994,190,pop
things can only get better,d:ream,1994,261,pop
tomorrow,silverchair,1994,267,band
whatta man,salt 'n' pepa,1994,308,urban
without you,mariah carey,1994,214,pop
zombie,the cranberries,1994,315,band
"alice, who the f..k is alice",the steppers,1995,238,electronic
another night,m.c. sar & the real mccoy,1995,238,electronic
as i lay me down,sophie b. hawkins,1995,202,pop
baby baby,corona,1995,228,electronic
back for good,take that,1995,238,pop
beautiful in my eyes,joshua kadison,1995,247,pop
boom boom boom,the outhere brothers,1995,235,electronic
cotton eye joe,rednex,1995,214,pop
don't stop (wiggle wiggle),the outhere brothers,1995,285,electronic
excalibur,f.c.b.,1995,237,electronic
fantasy,mariah carey,1995,244,pop
gangsta's paradise,coolio,1995,240,urban
have you ever really loved a woman,bryan adams,1995,292,band
here comes the hotstepper,ini kamoze,1995,243,band
here's johnny,hocus pocus,1995,270,urban
"hold me, thrill me, kiss me, kill me",u2,1995,285,band
i've got a little something for you,mn8,1995,228,urban
insensitive,jann arden,1995,258,pop
it's alright,deni hines,1995,164,urban
kiss from a rose,seal,1995,331,urban
let her cry,hootie & the blowfish,1995,319,pop
let's groove,cdb,1995,255,pop
mouth,merril bainbridge,1995,204,pop
mysterious girl,peter andre,1995,229,pop
one sweet day,mariah carey with boyz ii men,1995,286,pop
pure massacre,silverchair,1995,273,band
right type of mood,herbie,1995,190,band
run away,real mccoy,1995,219,electronic
runaway,janet jackson,1995,215,pop
scream / childhood,michael jackson,1995,287,pop
self esteem,offspring,1995,258,band
set you free,n-trance,1995,199,electronic
shy guy,diana king,1995,198,band
somebody's crying,chris isaak,1995,168,band
stay another day,east 17,1995,267,pop
stayin' alive,n-trance,1995,245,electronic
strong enough,sheryl crow,1995,191,pop
sukiyaki,4pm,1995,162,urban
think twice,celine dion,1995,250,pop
tomorrow,silverchair,1995,267,band
total eclipse of the heart,nicki french,1995,222,electronic
under the water,merril bainbridge,1995,253,pop
waterfalls,t.l.c.,1995,315,urban
when i come around,green day,1995,178,band
where the wild roses grow,nick cave and kylie minogue,1995,274,band
you are not alone,michael jackson,1995,334,pop
you belong to me,jx,1995,232,electronic
you oughta know,alanis morissette,1995,251,pop
zombie,the cranberries,1995,315,band
(ooh aah) just a little bit,gina g,1996,406,electronic
"1, 2, 3, 4 (sumpin' new)",coolio,1996,214,urban
anything,3t,1996,239,urban
be my lover,la bouche,1996,244,pop
because you loved me / power of the dream,celine dion,1996,214,pop
blue,leann rimes,1996,155,band
boom boom boom,the outhere brothers,1996,235,electronic
boombastic,shaggy,1996,217,band
breakfast at tiffany's,deep blue something,1996,260,band
california love,2pac,1996,241,urban
children,robert miles,1996,408,electronic
diggin' on you,t.l.c.,1996,321,urban
fastlove,george michael,1996,304,pop
father & son,boyzone,1996,169,pop
get down on it,peter andre feat. past to present,1996,227,pop
give me one reason,tracy chapman,1996,244,band
how bizarre,o.m.c.,1996,229,electronic
i live for you,chynna phillips,1996,228,pop
i love you always forever,donna lewis,1996,240,pop
i want you,savage garden,1996,231,pop
i'll be there for you,the rembrandts,1996,190,band
ironic,alanis morissette,1996,229,pop
it's all coming back to me now,celine dion,1996,218,pop
just a girl,no doubt,1996,206,band
let's make a night to remember,bryan adams,1996,275,band
macarena,los del mar,1996,234,pop
macarena,los del rio,1996,252,electronic
mother mother,tracy bonham,1996,185,band
nobody knows,tony rich project,1996,253,urban
one of us,joan osbourne,1996,314,band
one sweet day,mariah carey with boyz ii men,1996,286,pop
return of the mack,mark morrison,1996,201,urban
runaway,the corrs,1996,228,pop
sexual healing,max-a-million,1996,235,band
sometimes when we touch,newton,1996,189,electronic
spaceman,babylon zoo,1996,243,band
sweet dreams,la bouche,1996,189,pop
tha crossroads,bone thugs-n-harmony,1996,277,urban
that girl,maxi priest featuring shaggy,1996,212,band
theme from mission impossible,larry mullen & adam clayton,1996,206,band
until it sleeps,metallica,1996,268,band
wannabe,spice girls,1996,237,pop
what's love got to do with it,warren g,1996,234,urban
where do you go,no mercy,1996,229,electronic
wonderwall,oasis,1996,259,band
wrap me up,alex party,1996,333,electronic
x-files theme,triple x,1996,201,band
you're making me high,toni braxton,1996,216,urban
(if you're not in it for love) i'm outta here,shania twain,1997,268,band
2 become 1,spice girls,1997,237,pop
4 seasons of loneliness,boyz ii men,1997,297,urban
abuse me,silverchair,1997,242,band
all i wanna do,dannii,1997,269,electronic
alone,bee gees,1997,261,pop
around the world,daft punk,1997,240,electronic
as long as you love me,backstreet boys,1997,222,pop
ashes to ashes,faith no more,1997,217,band
barbie girl,aqua,1997,198,pop
beautiful people,marilyn manson,1997,224,band
bitch,meredith brooks,1997,225,band
bitter sweet symphony,the verve,1997,248,band
blood on the dancefloor,michael jackson,1997,257,pop
"break me, shake me",savage garden,1997,206,pop
break my stride,unique ii,1997,195,electronic
breathe,the prodigy,1997,335,electronic
burn,tina arena,1997,283,pop
c u when u get there,coolio,1997,321,urban
c'mon n' ride it (the train),quad city dj's,1997,244,electronic
calypso,spiderbait,1997,111,band
candle in the wind '97 / something about the way you look tonight,elton john,1997,492,pop
cemetery,silverchair,1997,241,band
coco jamboo,mr president,1997,217,electronic
da ya think i'm sexy?,n-trance,1997,218,electronic
discotheque,u2,1997,321,band
doctor jones,aqua,1997,207,pop
don't cry for me argentina,madonna,1997,336,pop
don't let go (love),en vogue,1997,292,urban
don't say goodbye,human nature,1997,265,pop
don't speak,no doubt,1997,261,band
even when i'm sleeping,leonardo's bride,1997,222,pop
everybody (backstreet's back),backstreet boys,1997,230,pop
everytime you cry,john farnham & human nature,1997,250,band
"fire, water, burn",bloodhound gang,1997,304,band
foolish games,jewel,1997,265,pop
forever,damage,1997,305,band
freak,silverchair,1997,226,band
gimme gimme,whigfield,1997,243,electronic
gone away,the offspring,1997,269,band
got 'til it's gone,janet jackson,1997,252,pop
hard to say i'm sorry,az yet,1997,197,urban
honey,mariah carey,1997,404,pop
"how come, how long",babyface,1997,320,urban
how do i live,trisha yearwood,1997,266,band
i am i feel,alisha's attic,1997,241,pop
i finally found someone,bryan adams & barbra streisand,1997,220,band
i need you,3t,1997,235,urban
i say a little prayer,diana king,1997,215,band
i shot the sheriff,warren g,1997,247,urban
i will come to you,hanson,1997,251,pop
i'll be missing you,puff daddy & faith evans,1997,309,urban
if you could only see,tonic,1997,262,band
insomnia,faithless,1997,216,electronic
last night,az yet,1997,268,urban
love rollercoaster,red hot chili peppers,1997,277,band
lovefool,the cardigans,1997,197,band
macarena christmas,los del rio,1997,253,electronic
mama / who do you think you are,spice girls,1997,223,pop
men in black,will smith,1997,226,urban
mmmbop,hanson,1997,316,pop
mo money mo problems,notorious b.i.g.,1997,250,urban
nightmare,brainbug,1997,406,electronic
no diggity,blackstreet,1997,306,urban
one headlight,the wallflowers,1997,313,band
one more time,real mccoy,1997,228,electronic
pony,ginuwine,1997,266,urban
professional widow (it's got to be big),tori amos,1997,228,band
push,matchbox 20,1997,244,pop
remember me,blue boy,1997,239,electronic
runnin',2pac & notorious b.i.g.,1997,224,urban
say you'll be there,spice girls,1997,229,pop
secret garden,bruce springsteen,1997,267,band
semi-charmed life,third eye blind,1997,270,band
sexy eyes,whigfield,1997,226,electronic
song 2,blur,1997,122,band
spice up your life,spice girls,1997,168,pop
step by step,whitney houston,1997,232,pop
sunday morning,no doubt,1997,260,band
tell him,celine dion,1997,291,pop
the end is the beginning is the end,smashing pumpkins,1997,308,band
the memory remains,metallica,1997,282,band
to the moon & back,savage garden,1997,273,pop
together again,janet jackson,1997,301,pop
"truly, madly, deeply",savage garden,1997,278,pop
tubthumping,chumbawamba,1997,221,band
twisted,keith sweat,1997,217,urban
unbreak my heart,toni braxton,1997,277,urban
walkin' on the sun,smash mouth,1997,207,band
wannabe,spice girls,1997,237,pop
what's love got to do with it,warren g,1997,234,urban
when doves cry,quindon tarver,1997,248,other
when i die,no mercy,1997,278,electronic
where do you go,no mercy,1997,229,electronic
where's the love,hanson,1997,250,pop
wishes,human nature,1997,253,pop
you sexy thing,t.shirt,1997,194,band
you were meant for me,jewel,1997,224,pop
young hearts run free,kym mazelle,1997,256,electronic
your woman,white town,1997,260,band
"5, 6, 7, 8",steps,1998,176,pop
addicted to bass,josh abrahams & amiel daemion,1998,235,electronic
all cried out,allure,1998,269,urban
all i have to give,backstreet boys,1998,275,pop
all my life,k-ci & jojo,1998,188,urban
as long as you love me,backstreet boys,1998,222,pop
because we want to,billie,1998,226,pop
believe,cher,1998,236,pop
big mistake,natalie imbruglia,1998,262,pop
brick,ben folds five,1998,271,band
buses & trains,bachelor girl,1998,231,pop
c'est la vie,b*witched,1998,165,pop
can't get enough of you baby,smash mouth,1998,151,band
casanova,ultimate kaos,1998,261,urban
cherish,pappa bear,1998,243,pop
coco jamboo,mr. president,1998,217,electronic
come with me,puff daddy featuring jimmy page,1998,225,urban
cruel,human nature,1998,317,pop
crush,jennifer paige,1998,200,pop
crush on you,aaron carter,1998,207,pop
cry,the mavis's,1998,253,pop
doctor jones,aqua,1998,207,pop
everybody get up,five,1998,220,pop
feel it,the tamperer featuring maya,1998,208,electronic
fight for your right (to party),n.y.c.c.,1998,203,pop
finally found,honeyz,1998,287,urban
from this moment on,shania twain,1998,282,band
frozen,madonna,1998,379,pop
fuel,metallica,1998,276,band
gettin' jiggy wit it,will smith,1998,230,urban
ghetto superstar (that is what you are),pras michel,1998,251,urban
goodbye,spice girls,1998,275,pop
gotta be... movin' on up,p. m. dawn featuring ky-mani,1998,221,urban
grease - the mixes,olivia newton-john & john travolta,1998,291,pop
high,lighthouse family,1998,308,band
horny,mousse t featuring hot 'n' juicy,1998,234,electronic
i don't like it,pauline pantsdown,1998,202,other
i don't want to miss a thing,aerosmith,1998,291,band
i know where it's at,all saints,1998,243,pop
i wanna be the only one,eternal,1998,216,urban
i'll never break your heart,backstreet boys,1998,287,pop
i'm your angel,celine dion & r kelly,1998,349,pop
if you could read my mind,stars on 54,1998,216,electronic
iris,goo goo dolls,1998,217,band
it's like that,run dmc vs jason nevins,1998,231,urban
it's tricky,run dmc vs jason nevins,1998,213,urban
jackie,b.z. featuring joanne,1998,245,pop
just the two of us,will smith,1998,305,urban
ladidi ladida,s.o.a.p.,1998,226,pop
last thing on my mind,steps,1998,186,pop
life,des'ree,1998,210,pop
lollipop,aqua,1998,171,pop
music sounds better with you,stardust,1998,214,electronic
my heart will go on,celine dion,1998,313,pop
never ever,all saints,1998,312,pop
no matter what,boyzone,1998,284,pop
now i can dance,tina arena,1998,354,pop
one week,barenaked ladies,1998,172,band
outside,george michael,1998,337,pop
pash,kate ceberano,1998,261,pop
polyester girl,regurgitator,1998,211,band
pretty fly (for a white guy),the offspring,1998,188,band
pushing buttons,grinspoon,1998,150,band
ray of light,madonna,1998,274,pop
redundant / time of your life,green day,1998,217,band
rollercoaster,b*witched,1998,183,pop
second solution / prisoner of society,the living end,1998,239,band
sex and candy,marcy playground,1998,172,band
stop,spice girls,1998,208,pop
sway,bic runga,1998,264,pop
sweetest thing,u2,1998,182,band
thank u,alanis morissette,1998,259,pop
the boy is mine,brandy & monica,1998,240,urban
the cup of life / maria,ricky martin,1998,274,pop
the impression that i get,the mighty mighty bosstones,1998,195,band
the things i love in you,cold chisel,1998,198,band
the unforgiven ii,metallica,1998,396,band
the way,fastball,1998,256,pop
thinking of you,hanson,1998,190,pop
this is how we party,s.o.a.p.,1998,220,pop
together again,janet jackson,1998,301,pop
too close,next,1998,279,urban
too much,spice girls,1998,268,pop
torn,natalie imbruglia,1998,227,pop
tubthumping,chumbawamba,1998,221,band
turn back time,aqua,1998,202,pop
turn the page,metallica,1998,159,band
twisted (excuse me),wayne g,1998,232,electronic
uh la la la,alexia,1998,226,electronic
under the bridge / lady marmalade,all saints,1998,541,pop
viva forever,spice girls,1998,311,pop
walkin on the sun,smash mouth,1998,207,band
weird,hanson,1998,245,pop
when the lights go out,five,1998,248,pop
when you believe,mariah carey & whitney houston,1998,275,pop
when you're gone,bryan adams,1998,218,band
you make me wanna,usher,1998,121,pop
you sexy thing,t. shirt,1998,240,band
you're still the one,shania twain,1998,207,band
(you drive me) crazy,britney spears,1999,198,pop
2 times,ann lee,1999,172,electronic
